URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-scZg2Xh/0/b90ee579/X4/Ceratina%20sequoiae.M.head.1921013-X4.jpg,,,100%,image-web,,Face,C. sequoiae ♂ ,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# T6 tuft,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-b5hZLgb/0/07712d78/X4/Char-%20T6%20hair%20tuft%20pacificum%20F-X4.jpg,,,100%,image-web,,,,T6HairTuft,present,,
# Ventral Facet acantha,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-2VhVTMv/0/77a4358d/O/Char-%20femur%20VentralFacet.jpg,,,100%,image-web,,,,VentralFacet,absent,,
#Apical femur hairs ,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-bKCdtbk/0/b2dc96f1/O/Char%20-%20FacetHair%20tej.jpg,,,100%,image-web,,,,ApicalHair,present,,
# Large pits,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-2br8NQm/0/bf901ea9/O/Char-%20Large%20pits.jpg,,,100%,image-web,,,,MesoplueralPits,"Large, dense",,
# Small pits,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-hGqzL5x/0/9e7aa736/O/Char-%20small%20pits.jpg,,,100%,image-web,,,,MesoplueralPits,"Small, sparse",,
# Intermediate,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-VcP3QJP/0/2f2833e3/O/Char-%20Intermediate%20pits.jpg,,,100%,image-web,,,,MesoplueralPits,Intermediate,,
# Distorted,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-cjKKWb7/0/48cd9e00/O/Char-%20distorted%20pits.jpg,,,100%,image-web,,,,MesoplueralPits,Distorted,,
# Pronotal,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-PNW-Ceratina-characters/i-ZgjchwN/0/97bb83ae/O/Char-%20PronotalSpot.jpg,,,100%,image-web,,,,PronotalLobes,,,
